ssc_name, ssc2011
Toolamba,21345
Toolangi,21346
Toolern Vale,21347
Toolleen,21348
Toolondo,21349
Toongabbie (Vic.),21350
Toora (Vic.),21351
Toora North,21352
Tooradin,21353
Toorak,21354
Toorloo Arm,21355
Tootgarook,21356
Torquay (Vic.),21357
Torrumbarry,21358
Tottenham (Vic.),21359
Trafalgar (Vic.),21360
Trafalgar East,21361
Trafalgar South,21362
Tragowel,21363
Traralgon,21364
Traralgon East,21365
Traralgon South,21366
Travancore,21367
Trawalla,21368
Tremont,21369
Trentham,21370
Tresco,21371
Truganina,21372
Tuerong,21373
Tullamarine,21374
Tungamah,21375
Tyabb,21376
Tyers,21377
Tylden,21378
Tynong,21379
Tynong North,21380
Tyntynder,21381
Tyntynder South,21382
Tyrendarra,21383
Ultima,21384
Undera,21385
Underbool,21386
Upper Ferntree Gully,21387
Upper Gundowring,21388
Upper Plenty,21389
Upwey,21390
Vectis,21391
Ventnor (Vic.),21392
Venus Bay (Vic.),21393
Vermont,21394
Vermont South,21395
Viewbank,21396
Vinifera,21397
Violet Town,21398
Waaia,21399
Wahgunyah,21400
Wahring,21401
Waldara,21402
Walkerville (Vic.),21403
Wallan,21404
Wallington,21405
Walmer (Vic.),21406
Walpa,21407
Walpeup,21408
Walwa,21409
Wandana Heights,21410
Wandiligong,21411
Wandin East,21412
Wandin North,21413
Wando Vale,21414
Wandong,21415
Wangandary,21416
Wangaratta (Vic.),21417
Wangaratta South,21418
Wantirna,21419
Wantirna South,21420
Waranga Shores,21421
Warburton (Vic.),21422
Warncoort,21423
Warneet,21424
Warracknabeal,21425
Warragul,21426
Warragul South,21427
Warrandyte,21428
Warrandyte South,21429
Warranwood,21430
Warrenbayne,21431
Warrenheip,21432
Warrion,21433
Warrnambool,21434
Warrong,21435
Wartook,21436
Watchem,21437
Waterford Park,21438
Waterways,21439
Watsonia,21440
Watsonia North,21441
Wattle Bank,21442
Wattle Glen,21443
Waubra,21444
Waurn Ponds,21445
Wedderburn (Vic.),21446
Wellsford,21447
Welshmans Reef,21448
Welshpool (Vic.),21449
Wemen,21450
Wendouree,21451
Werribee,21452
Werribee South,21453
Werrimull,21454
Wesburn,21455
West Bendigo,21456
West Footscray,21457
West Melbourne,21458
West Wodonga,21459
Westmeadows,21460
Wharparilla,21461
Wheatsheaf,21462
Wheelers Hill,21463
White Hills (Vic.),21464
Whiteheads Creek,21465
Whitfield (Vic.),21466
Whittington,21467
Whittlesea,21468
Whorouly,21469
Wilby,21470
Wildwood,21471
Willaura,21472
Williams Landing,21473
Williamstown (Vic.),21474
Williamstown North,21475
Willow Grove,21476
Willowmavin,21477
Willung South,21478
Wilsons Promontory,21479
Wimbledon Heights,21480
Winchelsea,21481
Winchelsea South,21482
Windermere (Vic.),21483
Windsor (Vic.),21484
Winslow,21485
Winton (Vic.),21486
Wodonga,21487
Wollert,21488
Won Wron,21489
Wonga Park,21490
Wonthaggi,21491
Wood Wood,21492
Woodend (Vic.),21493
Woodend North,21494
Woodford (Vic.),21495
Woodside (Vic.),21496
Woodstock (Vic.),21497
Woodvale (Vic.),21498
Woolamai,21499
Woolsthorpe,21500
Woomelang,21501
Wooragee,21502
Woorarra West,21503
Woori Yallock,21504
Woorinen,21505
Woorinen South,21506
Woorndoo,21507
Wunghnu,21508
Wurruk,21509
Wy Yung,21510
Wycheproof,21511
Wye River,21512
Wyndham Vale,21513
Wyuna (Vic.),21514
Yabba North,21515
Yackandandah,21516
Yalca,21517
Yallambie,21518
Yallourn,21519
Yallourn North,21520
Yambuk,21521
Yan Yean,21522
Yanakie,21523
Yandoit,21524
Yannathan,21525
Yapeen,21526
Yarck,21527
Yarra Glen,21528
Yarra Junction,21529
Yarragon,21530
Yarragon South,21531
Yarram,21532
Yarrambat,21533
Yarraville,21534
Yarrawonga (Vic.),21535
Yarroweyah,21536
Yea,21537
Yellingbo,21538
Yelta (Vic.),21539
Yendon,21540
Yinnar,21541
Yinnar South,21542
Yulecart,21543
Yuroke,21544
