ssc_name, ssc2011
Cloverlea,20303
Clunes (Vic.),20304
Clyde (Vic.),20305
Cobains,20306
Cobden,20307
Cobram,20308
Cobram East,20309
Cobrico,20310
Coburg,20311
Coburg North,20312
Cockatoo (Vic.),20313
Cocoroc,20314
Cohuna,20315
Coimadai,20316
Colac,20317
Colac East,20318
Colac West,20319
Colbinabbin,20320
Coldstream (Vic.),20321
Coleraine,20322
Colignan,20323
Collingwood (Vic.),20324
Concongella,20325
Condah,20326
Congupna,20327
Connewarre,20328
Coolaroo,20329
Coongulla,20330
Cooriemungle,20331
Cora Lynn,20332
Coragulac,20333
Corinella (Vic.),20334
Corio,20335
Coronet Bay,20336
Corop,20337
Cororooke,20338
Corryong,20339
Cottles Bridge,20340
Cowes,20341
Cowwarr,20342
Craigieburn,20343
Cranbourne,20344
Cranbourne East,20345
Cranbourne North,20346
Cranbourne South,20347
Cranbourne West,20348
Cremorne (Vic.),20349
Cressy (Vic.),20350
Creswick,20351
Crib Point,20352
Crossley,20353
Croydon (Vic.),20354
Croydon Hills,20355
Croydon North,20356
Croydon South,20357
Cudgee,20358
Cudgewa,20359
Culgoa,20360
Curlewis (Vic.),20361
Daisy Hill (Vic.),20362
Dales Creek,20363
Dallas,20364
Dalyston,20365
Dandenong,20366
Dandenong North,20367
Dandenong South,20368
Dargo,20369
Darley,20370
Darnum,20371
Darraweit Guim,20372
Dartmoor (Vic.),20373
Daylesford,20374
Dean,20375
Deans Marsh,20376
Dederang,20377
Deep Lead,20378
Deepdene (Vic.),20379
Deer Park,20380
Delacombe,20381
Delahey,20382
Denison,20383
Dennington,20384
Dereel,20385
Derrimut,20386
Derrinallum,20387
Devenish,20388
Devon Meadows,20389
Devon North,20390
Dewhurst,20391
Dhurringile,20392
Diamond Creek,20393
Digby,20394
Diggers Rest,20395
Diggora,20396
Dimboola,20397
Dingee,20398
Dingley Village,20399
Dinner Plain,20400
Dixons Creek,20401
Docklands,20402
Don Valley,20403
Donald,20404
Doncaster,20405
Doncaster East,20406
Donvale,20407
Dookie,20408
Doreen,20409
Douglas (Vic.),20410
Doveton,20411
Dreeite,20412
Dromana,20413
Drouin,20414
Drouin East,20415
Drouin South,20416
Drouin West,20417
Drumborg,20418
Drumcondra,20419
Drummond,20420
Drung,20421
Drysdale,20422
Dumbalk,20423
Dunkeld (Vic.),20424
Dunnstown,20425
Dunolly (Vic.),20426
Durham Lead,20427
Eagle Point,20428
Eaglehawk,20429
Eaglemont,20430
East Bairnsdale,20431
East Bendigo,20432
East Geelong,20433
East Melbourne,20434
East Sale,20435
East Wangaratta,20436
East Warburton,20437
Eastwood (Vic.),20438
Ebden,20439
Echuca,20440
Echuca Village,20441
Echuca West,20442
Ecklin South,20443
Eden Park,20444
Edenhope,20445
Edithvale,20446
Eganstown,20447
Eildon,20448
Elaine,20449
Eldorado,20450
Ellerslie (Vic.),20451
Elliminyt,20452
Ellinbank,20453
Elmhurst,20454
Elmore,20455
Elphinstone (Vic.),20456
Elsternwick,20457
Eltham (Vic.),20458
Eltham North,20459
Elwood,20460
Emerald (Vic.),20461
Emu Creek (Vic.),20462
Endeavour Hills,20463
Enfield (Vic.),20464
Eppalock,20465
Epping (Vic.),20466
Epsom (Vic.),20467
Erica,20468
Eskdale (Vic.),20469
Essendon,20470
Essendon Fields,20471
Essendon North,20472
Essendon West,20473
Eumemmerring,20474
Eureka (Vic.),20475
Euroa,20476
Eurobin,20477
Everton,20478
Eynesbury,20479
Fairfield (Vic.),20480
Fairhaven,20481
Falls Creek (Vic.),20482
Faraday,20483
Fawkner,20484
Fernbank,20485
Ferntree Gully,20486
Ferny Creek,20487
Fingal (Vic.),20488
Fish Creek,20489
Fitzroy (Vic.),20490
Fitzroy North,20491
Flemington,20492
Flinders (Vic.),20493
Flora Hill,20494
Flowerdale (Vic.),20495
Footscray,20496
Forest Hill (Vic.),20497
Forge Creek,20498
Forrest (Vic.),20499
Foster,20500
Framlingham,20501
Frankston,20502
Frankston North,20503
Frankston South,20504
Freeburgh,20505
French Island,20506
Freshwater Creek,20507
Fryerstown,20508
Fulham (Vic.),20509
Fyansford,20510
Gannawarra,20511
Gapsted,20512
Gardenvale,20513
Garfield (Vic.),20514
Garfield North,20515
Garibaldi,20516
Garvoc,20517
Geelong,20518
Geelong West,20519
Gellibrand,20520
Gembrook,20521
Genoa,20522
Gentle Annie,20523
Gerang Gerung,20524
Gherang,20525
Gheringhap,20526
Girgarre,20527
Gisborne,20528
Gisborne South,20529
Gladstone Park,20530
Gladysdale,20531
Glen Alvie,20532
Glen Huntly,20533
Glen Iris (Vic.),20534
Glen Waverley,20535
Glenalbyn,20536
Glenburn,20537
Glenfyne,20538
Glengarry (Vic.),20539
Glengarry North,20540
Glenisla,20541
Glenlyon (Vic.),20542
Glenmaggie,20543
Glenorchy (Vic.),20544
Glenormiston South,20545
